iter	Passed	Remaining
989	18414	186
990	18425	167
991	18436	148
992	18448	130
993	18460	111
994	18471	92
995	18481	74
996	18492	55
997	18503	37
998	18514	18
999	18525	0
